tensor,attention,story_id,token_id
11812,0.008449559099972248,1,24
2046,0.008646625094115734,1,25
6081,0.008768058381974697,1,26
12475,0.008687653578817844,1,27
12432,0.008852265775203705,1,28
2008,0.009076851420104504,1,29
2020,0.008534621447324753,1,30
10203,0.008963868021965027,1,31
2012,0.009513924829661846,1,32
2169,0.009541555307805538,1,33
2203,0.00955086387693882,1,34
2011,0.00917172059416771,1,35
1037,0.0090335663408041,1,36
7318,0.008969590999186039,1,37
1012,0.008557721972465515,1,38
1996,0.00873311422765255,1,39
4176,0.008493863046169281,1,40
2020,0.0085707763209939,1,41
3214,0.00851292535662651,1,42
2000,0.008471186272799969,1,43
2022,0.008378230035305023,1,44
9687,0.008144966326653957,1,45
2000,0.008224488236010075,1,46
1996,0.008249722421169281,1,47
2149,0.008214258588850498,1,48
1010,0.008325913920998573,1,49
2073,0.008341064676642418,1,50
2027,0.008873021230101585,1,51
2020,0.008836989291012287,1,52
2000,0.008760306984186172,1,53
2022,0.00874679908156395,1,54
2853,0.008549606427550316,1,55
2004,0.008502078242599964,1,56
18551,0.008418678306043148,1,57
1012,0.00952824018895626,1,58
1996,0.008995561860501766,1,59
3169,0.008454857394099236,1,60
2001,0.008295956999063492,1,61
3740,0.008461244404315948,1,62
1998,0.008503284305334091,1,63
6472,0.008155913092195988,1,64
2011,0.008289999328553677,1,65
1037,0.008272413164377213,1,66
6870,0.0084914555773139,1,67
11626,0.008559093810617924,1,68
3614,0.008216706104576588,1,69
1012,0.008764926344156265,1,70
2023,0.008445975370705128,1,71
6959,0.008315091021358967,1,72
2052,0.00813355017453432,1,73
2031,0.008339992724359035,1,74
2042,0.00847582146525383,1,75
4276,0.008283616974949837,1,76
1002,0.008448164910078049,1,77
5539,0.00859075877815485,1,78
1010,0.008667086251080036,1,79
2199,0.008627908304333687,1,80
1012,0.008795470930635929,1,81
2028,0.008597922511398792,1,82
2733,0.008364378474652767,1,83
2044,0.007980012334883213,1,84
13648,0.008259603753685951,1,85
1996,0.007854427210986614,1,86
17800,0.00768995052203536,1,87
4110,0.007909579202532768,1,88
5055,0.0078818891197443,1,89
1010,0.007963402196764946,1,90
1996,0.008161108009517193,1,91
2610,0.008511005900800228,1,92
4727,0.008462250232696533,1,93
2176,0.008728264831006527,1,94
2273,0.008630439639091492,1,95
2040,0.008820612914860249,1,96
4692,0.008454990573227406,1,97
2000,0.008360899984836578,1,98
10797,0.008452827110886574,1,99
1996,0.00840800628066063,1,100
19535,0.008554480969905853,1,101
1012,0.008943380787968636,1,102
1996,0.009175390936434269,1,103
2273,0.008475113660097122,1,104
2227,0.00811615027487278,1,105
2274,0.008501884527504444,1,106
2086,0.008554765954613686,1,107
1999,0.008557673543691635,1,108
3827,0.008367158472537994,1,109
1998,0.008172526024281979,1,110
1037,0.008278916589915752,1,111
2986,0.008238673210144043,1,112
1997,0.007867569103837013,1,113
1002,0.007549469359219074,1,114
5385,0.007987813092768192,1,115
2692,0.008193302899599075,1,116
1012,0.00875930581241846,1,117
1037,0.00735793961212039,2,0
2934,0.007322811521589756,2,1
1999,0.006914274301379919,2,2
1996,0.006762998178601265,2,3
23700,0.007051377557218075,2,4
2533,0.0070128715597093105,2,5
2012,0.006969835143536329,2,6
2522,0.006805880926549435,2,7
22573,0.0067482758313417435,2,8
2078,0.006792235653847456,2,9
